,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,hid,pid,sid,uid
12132,385.270400047,0.00200009346008,0.00180006027222,333.868000031,0.472300052643,2.49920010567,exp6,research.northwestern.edu,pilot.0117,rp.session.radical.mturilli.017096.0006,unit.000660
12133,260.28309989,0.00160002708435,0.00150012969971,232.487999916,0.472300052643,2.49889993668,exp6,phys.uconn.edu,pilot.0002,rp.session.radical.mturilli.017096.0006,unit.000661
12134,1171.16359997,0.00209999084473,0.00160002708435,1486.2098999,0.472300052643,2.49850010872,exp6,n0x.10.2.x.x,pilot.0076,rp.session.radical.mturilli.017096.0006,unit.000662
12135,242.254100084,0.00150012969971,0.00179982185364,241.320600033,0.472300052643,2.49810004234,exp6,phys.uconn.edu,pilot.0045,rp.session.radical.mturilli.017096.0006,unit.000663
12136,577.586300135,0.00160002708435,0.00239992141724,575.19720006,0.472300052643,2.49769997597,exp6,fnal.gov,pilot.0029,rp.session.radical.mturilli.017096.0006,unit.000664
12137,358.359599829,0.00169992446899,0.00209999084473,379.328400135,0.472300052643,2.49729990959,exp6,research.northwestern.edu,pilot.0015,rp.session.radical.mturilli.017096.0006,unit.000665
12138,1042.19389987,0.00180006027222,0.00190019607544,696.460699797,0.472300052643,2.49690008163,exp6,usatlas.bnl.gov,pilot.0122,rp.session.radical.mturilli.017096.0006,unit.000666
12139,336.334000111,0.00169992446899,0.00189995765686,318.320300102,0.472300052643,2.49650001526,exp6,CRUSH.OSG,pilot.0093,rp.session.radical.mturilli.017096.0006,unit.000667
12140,353.502599955,0.000200033187866,0.000400066375732,358.027499914,0.472300052643,2.49609994888,exp6,,pilot.0028,rp.session.radical.mturilli.017096.0006,unit.000668
12141,477.398200035,0.00230002403259,0.00269985198975,469.343800068,0.472300052643,2.49570012093,exp6,panther.net,pilot.0090,rp.session.radical.mturilli.017096.0006,unit.000669
12142,441.462199926,0.00230002403259,0.00180006027222,415.533599854,0.472300052643,2.49539995193,exp6,CRUSH.OSG,pilot.0107,rp.session.radical.mturilli.017096.0006,unit.000670
12143,355.423300028,0.000200033187866,0.000300168991089,336.243299961,0.472300052643,2.49500012398,exp6,,pilot.0066,rp.session.radical.mturilli.017096.0006,unit.000671
12144,490.529500008,0.00239992141724,0.00230002403259,463.90199995,0.472300052643,2.4946000576,exp6,CRUSH.OSG,pilot.0058,rp.session.radical.mturilli.017096.0006,unit.000672
12145,196.201900005,0.00119996070862,0.00139999389648,197.456500053,0.472300052643,2.49419999123,exp6,CRUSH.OSG,pilot.0101,rp.session.radical.mturilli.017096.0006,unit.000673
12146,457.457699776,0.00200009346008,0.00170016288757,436.47969985,0.472300052643,2.49379992485,exp6,CRUSH.OSG,pilot.0055,rp.session.radical.mturilli.017096.0006,unit.000674
12147,1207.98219991,0.021399974823,0.0155000686646,1193.08759999,0.472300052643,2.49340009689,exp6,usatlas.bnl.gov,pilot.0024,rp.session.radical.mturilli.017096.0006,unit.000675
12148,208.204999924,0.00130009651184,0.00160002708435,192.981699944,0.472300052643,2.49300003052,exp6,CRUSH.OSG,pilot.0108,rp.session.radical.mturilli.017096.0006,unit.000676
12149,296.215399981,0.000300168991089,0.00029993057251,292.877799988,0.472300052643,2.49259996414,exp6,,pilot.0009,rp.session.radical.mturilli.017096.0006,unit.000677
12150,194.190599918,0.00169992446899,0.00149989128113,188.173900127,0.472300052643,2.49220013618,exp6,CRUSH.OSG,pilot.0095,rp.session.radical.mturilli.017096.0006,unit.000678
12151,274.27670002,0.00170016288757,0.00169992446899,266.111500025,0.472300052643,2.49189996719,exp6,research.northwestern.edu,pilot.0017,rp.session.radical.mturilli.017096.0006,unit.000679
12152,407.416599989,0.00189995765686,0.00170016288757,415.390899897,0.472300052643,2.49149990082,exp6,CRUSH.OSG,pilot.0103,rp.session.radical.mturilli.017096.0006,unit.000680
12153,666.092700005,0.00129985809326,0.00110006332397,464.327600002,0.472300052643,2.49110007286,exp6,usatlas.bnl.gov,pilot.0120,rp.session.radical.mturilli.017096.0006,unit.000681
12154,497.503000021,0.00230002403259,0.00139999389648,512.263499975,0.472300052643,2.49070000648,exp6,CRUSH.OSG,pilot.0049,rp.session.radical.mturilli.017096.0006,unit.000682
12155,386.948199987,0.000400066375732,0.000200033187866,391.98239994,0.472300052643,2.49029994011,exp6,,pilot.0034,rp.session.radical.mturilli.017096.0006,unit.000683
12156,1108.10360003,0.00150012969971,0.00160002708435,1120.77409983,0.472300052643,2.48979997635,exp6,n0x.10.2.x.x,pilot.0073,rp.session.radical.mturilli.017096.0006,unit.000684
12157,268.274399996,0.00149989128113,0.00139999389648,266.326499939,0.472300052643,2.48939990997,exp6,research.northwestern.edu,pilot.0017,rp.session.radical.mturilli.017096.0006,unit.000685
12158,477.401299953,0.00230002403259,0.00219988822937,460.873100042,0.472300052643,2.48900008202,exp6,panther.net,pilot.0090,rp.session.radical.mturilli.017096.0006,unit.000686
12159,199.202600002,0.00150012969971,0.00110006332397,190.214699984,0.472300052643,2.48860001564,exp6,CRUSH.OSG,pilot.0108,rp.session.radical.mturilli.017096.0006,unit.000687
12160,252.257200003,0.00169992446899,0.00230002403259,235.069600105,0.472300052643,2.48819994926,exp6,phys.uconn.edu,pilot.0003,rp.session.radical.mturilli.017096.0006,unit.000688
12161,479.734600067,0.0019998550415,0.00139999389648,461.316300154,0.472300052643,2.48780012131,exp6,usatlas.bnl.gov,pilot.0118,rp.session.radical.mturilli.017096.0006,unit.000689
12162,360.399999857,0.00200009346008,0.00220012664795,336.366999865,0.472300052643,2.48729991913,exp6,research.northwestern.edu,pilot.0016,rp.session.radical.mturilli.017096.0006,unit.000690
12163,1250.24530005,0.00179982185364,0.00150012969971,1219.19749999,0.472300052643,2.48690009117,exp6,n0x.10.2.x.x,pilot.0076,rp.session.radical.mturilli.017096.0006,unit.000691
12164,317.983199835,0.000300168991089,0.00029993057251,293.556900024,0.472300052643,2.4865000248,exp6,,pilot.0009,rp.session.radical.mturilli.017096.0006,unit.000692
12165,425.437099934,0.00269985198975,0.00160002708435,423.427400112,0.472300052643,2.48600006104,exp6,CRUSH.OSG,pilot.0098,rp.session.radical.mturilli.017096.0006,unit.000693
12166,464.685499907,0.00160002708435,0.00130009651184,434.789799929,0.472300052643,2.48559999466,exp6,usatlas.bnl.gov,pilot.0118,rp.session.radical.mturilli.017096.0006,unit.000694
12167,503.786600113,0.000200033187866,0.000400066375732,501.537799835,0.472300052643,2.48519992828,exp6,,pilot.0067,rp.session.radical.mturilli.017096.0006,unit.000695
12168,201.19900012,0.00159978866577,0.00129985809326,165.409700155,0.472300052643,2.48480010033,exp6,CRUSH.OSG,pilot.0095,rp.session.radical.mturilli.017096.0006,unit.000696
12169,497.506100178,0.00190019607544,0.00179982185364,412.057399988,0.472300052643,2.48440003395,exp6,CRUSH.OSG,pilot.0106,rp.session.radical.mturilli.017096.0006,unit.000697
12170,540.075399876,0.00230002403259,0.00230002403259,527.642800093,0.472300052643,2.48399996758,exp6,usatlas.bnl.gov,pilot.0022,rp.session.radical.mturilli.017096.0006,unit.000698
12171,243.265400171,0.00189995765686,0.00169992446899,215.113399982,0.472300052643,2.4835999012,exp6,phys.uconn.edu,pilot.0046,rp.session.radical.mturilli.017096.0006,unit.000699
12172,993.486599922,0.00209999084473,0.00290012359619,935.901799917,0.472300052643,2.48320007324,exp6,usatlas.bnl.gov,pilot.0120,rp.session.radical.mturilli.017096.0006,unit.000700
12173,428.425500154,0.00189995765686,0.00249981880188,403.752200127,0.472300052643,2.48289990425,exp6,CRUSH.OSG,pilot.0098,rp.session.radical.mturilli.017096.0006,unit.000701
12174,419.419499874,0.00180006027222,0.00169992446899,413.051100016,0.472300052643,2.48250007629,exp6,CRUSH.OSG,pilot.0102,rp.session.radical.mturilli.017096.0006,unit.000702
12175,196.194100142,0.00119996070862,0.00119996070862,195.834800005,0.472300052643,2.48210000992,exp6,CRUSH.OSG,pilot.0096,rp.session.radical.mturilli.017096.0006,unit.000703
12176,436.435899973,0.0025999546051,0.00230002403259,485.921499968,0.472300052643,2.48169994354,exp6,CRUSH.OSG,pilot.0058,rp.session.radical.mturilli.017096.0006,unit.000704
12177,868.16989994,0.00150012969971,0.00200009346008,527.141799927,0.472300052643,2.48130011559,exp6,usatlas.bnl.gov,pilot.0121,rp.session.radical.mturilli.017096.0006,unit.000705
12178,444.440399885,0.0019998550415,0.00209999084473,430.855600119,0.472300052643,2.48090004921,exp6,CRUSH.OSG,pilot.0106,rp.session.radical.mturilli.017096.0006,unit.000706
12179,387.394999981,0.00140023231506,0.00190019607544,531.19329977,0.472300052643,2.48060011864,exp6,CRUSH.OSG,pilot.0049,rp.session.radical.mturilli.017096.0006,unit.000707
12180,194.198000193,0.00110006332397,0.00139999389648,195.680499792,0.472300052643,2.48009991646,exp6,CRUSH.OSG,pilot.0095,rp.session.radical.mturilli.017096.0006,unit.000708
12181,495.514400005,0.00220012664795,0.00200009346008,531.904799938,0.472300052643,2.4797000885,exp6,CRUSH.OSG,pilot.0006,rp.session.radical.mturilli.017096.0006,unit.000709
12182,410.972899914,0.00389981269836,0.00170016288757,0.00110006332397,0.472300052643,2.47920012474,exp6,CRUSH.OSG,pilot.0109,rp.session.radical.mturilli.017096.0006,unit.000710
12183,399.417699814,0.00389981269836,0.00170016288757,410.978600025,0.472300052643,2.47869992256,exp6,CRUSH.OSG,pilot.0109,rp.session.radical.mturilli.017096.0006,unit.000711
12184,448.183599949,0.00230002403259,0.00230002403259,0.000999927520752,0.472300052643,2.4781999588,exp6,CRUSH.OSG,pilot.0107,rp.session.radical.mturilli.017096.0006,unit.000712
12185,372.369299889,0.00230002403259,0.00170016288757,448.188799858,0.472300052643,2.47780013084,exp6,CRUSH.OSG,pilot.0107,rp.session.radical.mturilli.017096.0006,unit.000713
12186,409.061399937,0.00230002403259,0.00139999389648,0.000600099563599,0.472300052643,2.47740006447,exp6,CRUSH.OSG,pilot.0103,rp.session.radical.mturilli.017096.0006,unit.000714
12187,426.362600088,0.00230002403259,0.00179982185364,409.15440011,0.472300052643,2.47699999809,exp6,CRUSH.OSG,pilot.0103,rp.session.radical.mturilli.017096.0006,unit.000715
12188,470.714699984,0.00239992141724,0.0025999546051,0.00110006332397,0.472300052643,2.47659993172,exp6,CRUSH.OSG,pilot.0104,rp.session.radical.mturilli.017096.0006,unit.000716
12189,406.405499935,0.00239992141724,0.00200009346008,470.721400023,0.472300052643,2.47630000114,exp6,CRUSH.OSG,pilot.0104,rp.session.radical.mturilli.017096.0006,unit.000717
12190,262.608099937,0.00179982185364,0.00119996070862,0.000600099563599,0.472300052643,2.47589993477,exp6,phys.uconn.edu,pilot.0092,rp.session.radical.mturilli.017096.0006,unit.000718
12191,255.260700226,0.00179982185364,0.00149989128113,262.611700058,0.472300052643,2.47550010681,exp6,phys.uconn.edu,pilot.0092,rp.session.radical.mturilli.017096.0006,unit.000719
12192,543.876699924,0.000399827957153,0.000400066375732,555.97480011,0.472300052643,2.47510004044,exp6,,pilot.0033,rp.session.radical.mturilli.017096.0006,unit.000720
12193,510.376499891,0.000400066375732,0.000400066375732,500.601999998,0.472300052643,2.47469997406,exp6,,pilot.0067,rp.session.radical.mturilli.017096.0006,unit.000721
12194,261.265300035,0.000400066375732,0.00029993057251,262.54369998,0.472300052643,2.47429990768,exp6,,pilot.0066,rp.session.radical.mturilli.017096.0006,unit.000722
12195,1133.12829995,0.00179982185364,0.0038001537323,1506.11750007,0.472300052643,2.47390007973,exp6,n0x.10.2.x.x,pilot.0062,rp.session.radical.mturilli.017096.0006,unit.000723
12196,369.37229991,0.857100009918,0.00169992446899,376.212900162,0.472300052643,2.47350001335,exp6,CRUSH.OSG,pilot.0109,rp.session.radical.mturilli.017096.0006,unit.000724
12197,578.199199915,0.00029993057251,0.00029993057251,617.731800079,0.472300052643,2.47320008278,exp6,,pilot.0032,rp.session.radical.mturilli.017096.0006,unit.000725
12198,1154.15380001,0.0074999332428,0.00150012969971,1694.46329999,0.472300052643,2.4728000164,exp6,n0x.10.2.x.x,pilot.0086,rp.session.radical.mturilli.017096.0006,unit.000726
12199,203.75150013,0.000199794769287,0.00029993057251,200.170900106,0.472300052643,2.47239995003,exp6,,pilot.0052,rp.session.radical.mturilli.017096.0006,unit.000727
12200,261.271500111,0.00139999389648,0.00149989128113,273.620900154,0.472300052643,2.47200012207,exp6,phys.uconn.edu,pilot.0041,rp.session.radical.mturilli.017096.0006,unit.000728
12201,870.25819993,0.00180006027222,0.00169992446899,808.407099962,0.472300052643,2.47160005569,exp6,aglt2.org,pilot.0116,rp.session.radical.mturilli.017096.0006,unit.000729
12202,202.21690011,0.00139999389648,0.00160002708435,195.805499792,0.472300052643,2.47130012512,exp6,CRUSH.OSG,pilot.0108,rp.session.radical.mturilli.017096.0006,unit.000730
12203,280.380700111,0.000200033187866,0.00029993057251,272.840899944,0.472300052643,2.47090005875,exp6,,pilot.0066,rp.session.radical.mturilli.017096.0006,unit.000731
12204,506.730600119,0.00190019607544,0.00139999389648,482.757999897,0.472300052643,2.47049999237,exp6,aglt2.org,pilot.0114,rp.session.radical.mturilli.017096.0006,unit.000732
12205,347.951499939,0.00029993057251,0.00029993057251,325.116000175,0.472300052643,2.47009992599,exp6,,pilot.0009,rp.session.radical.mturilli.017096.0006,unit.000733
12206,757.299799919,0.00029993057251,0.000200033187866,627.808799982,0.472300052643,2.46959996223,exp6,,pilot.0000,rp.session.radical.mturilli.017096.0006,unit.000734
12207,381.378600121,0.00230002403259,0.00169992446899,394.692499876,0.472300052643,2.46920013428,exp6,CRUSH.OSG,pilot.0109,rp.session.radical.mturilli.017096.0006,unit.000735
12208,341.400099993,0.00209999084473,0.00180006027222,535.902899981,0.472300052643,2.4688000679,exp6,usatlas.bnl.gov,pilot.0021,rp.session.radical.mturilli.017096.0006,unit.000736
12209,453.491899967,0.00239992141724,0.00189995765686,402.35860014,0.472300052643,2.46840000153,exp6,CRUSH.OSG,pilot.0047,rp.session.radical.mturilli.017096.0006,unit.000737
12210,204.362100124,0.00029993057251,0.00029993057251,204.289200068,0.472300052643,2.46799993515,exp6,,pilot.0052,rp.session.radical.mturilli.017096.0006,unit.000738
12211,784.986099958,0.00160002708435,0.00139999389648,796.484200001,0.472300052643,2.46760010719,exp6,aglt2.org,pilot.0112,rp.session.radical.mturilli.017096.0006,unit.000739
12212,206.719500065,0.00029993057251,0.00029993057251,203.764899969,0.472300052643,2.46720004082,exp6,,pilot.0052,rp.session.radical.mturilli.017096.0006,unit.000740
12213,398.396600008,0.00139999389648,0.00200009346008,405.434299946,0.472300052643,2.46679997444,exp6,CRUSH.OSG,pilot.0057,rp.session.radical.mturilli.017096.0006,unit.000741
12214,1153.14890003,0.00189995765686,0.00180006027222,1168.38059998,0.472300052643,2.46639990807,exp6,n0x.10.2.x.x,pilot.0077,rp.session.radical.mturilli.017096.0006,unit.000742
12215,480.704600096,0.00170016288757,0.00149989128113,460.829200029,0.472300052643,2.46600008011,exp6,usatlas.bnl.gov,pilot.0118,rp.session.radical.mturilli.017096.0006,unit.000743
12216,201.214400053,0.00149989128113,0.00160002708435,185.65260005,0.472300052643,2.46560001373,exp6,CRUSH.OSG,pilot.0108,rp.session.radical.mturilli.017096.0006,unit.000744
12217,237.255800009,0.00169992446899,0.00139999389648,248.918200016,0.472300052643,2.46519994736,exp6,phys.uconn.edu,pilot.0046,rp.session.radical.mturilli.017096.0006,unit.000745
12218,550.584599972,0.000200033187866,0.00029993057251,546.631000042,0.472300052643,2.4648001194,exp6,,pilot.0032,rp.session.radical.mturilli.017096.0006,unit.000746
12219,390.489799976,0.000200033187866,0.000400066375732,377.989799976,0.472300052643,2.46449995041,exp6,,pilot.0034,rp.session.radical.mturilli.017096.0006,unit.000747
12220,248.265599966,0.00160002708435,0.00150012969971,269.016900063,0.472300052643,2.46410012245,exp6,phys.uconn.edu,pilot.0041,rp.session.radical.mturilli.017096.0006,unit.000748
12221,201.197000027,0.00139999389648,0.00119996070862,199.809000015,0.472300052643,2.46370005608,exp6,CRUSH.OSG,pilot.0095,rp.session.radical.mturilli.017096.0006,unit.000749
12222,397.10800004,0.000499963760376,0.000200033187866,386.999300003,0.472300052643,2.4632999897,exp6,,pilot.0034,rp.session.radical.mturilli.017096.0006,unit.000750
12223,618.628499985,0.00219988822937,0.00209999084473,652.48360014,0.472300052643,2.46289992332,exp6,fnal.gov,pilot.0069,rp.session.radical.mturilli.017096.0006,unit.000751
12224,1517.51010013,0.00139999389648,0.00189995765686,1202.59150004,0.472300052643,2.46250009537,exp6,n0x.10.2.x.x,pilot.0089,rp.session.radical.mturilli.017096.0006,unit.000752
12225,200.209200144,0.00160002708435,0.00189995765686,161.158400059,0.472300052643,2.46210002899,exp6,CRUSH.OSG,pilot.0095,rp.session.radical.mturilli.017096.0006,unit.000753
12226,483.500100136,0.00230002403259,0.00249981880188,474.812800169,0.472300052643,2.46160006523,exp6,panther.net,pilot.0090,rp.session.radical.mturilli.017096.0006,unit.000754
12227,477.467000008,0.00029993057251,5.01880002022,577.441099882,0.472300052643,2.46110010147,exp6,,pilot.0013,rp.session.radical.mturilli.017096.0006,unit.000755
12228,430.430500031,0.00200009346008,0.00170016288757,400.050499916,0.472300052643,2.46059989929,exp6,CRUSH.OSG,pilot.0103,rp.session.radical.mturilli.017096.0006,unit.000756
12229,413.427000046,0.00219988822937,0.00179982185364,382.198300123,0.472300052643,2.46020007133,exp6,CRUSH.OSG,pilot.0102,rp.session.radical.mturilli.017096.0006,unit.000757
12230,433.640700102,0.00220012664795,0.00130009651184,414.116399765,0.472300052643,2.45970010757,exp6,usatlas.bnl.gov,pilot.0022,rp.session.radical.mturilli.017096.0006,unit.000758
12231,204.219599962,0.00129985809326,0.00139999389648,189.141900063,0.472300052643,2.4591999054,exp6,CRUSH.OSG,pilot.0096,rp.session.radical.mturilli.017096.0006,unit.000759
12232,482.597900152,0.00230002403259,0.00149989128113,532.346400023,0.472300052643,2.45880007744,exp6,aglt2.org,pilot.0110,rp.session.radical.mturilli.017096.0006,unit.000760
12233,547.561500072,0.00179982185364,0.0019998550415,486.337000132,0.472300052643,2.45840001106,exp6,CRUSH.OSG,pilot.0099,rp.session.radical.mturilli.017096.0006,unit.000761
12234,737.741699934,0.00179982185364,0.00139999389648,1071.85150003,0.472300052643,2.45799994469,exp6,n0x.10.2.x.x,pilot.0076,rp.session.radical.mturilli.017096.0006,unit.000762
12235,469.473200083,0.00179982185364,0.00269985198975,530.928300142,0.472300052643,2.45760011673,exp6,CRUSH.OSG,pilot.0007,rp.session.radical.mturilli.017096.0006,unit.000763
12236,202.202000141,0.00119996070862,0.00139999389648,173.63499999,0.472300052643,2.45720005035,exp6,CRUSH.OSG,pilot.0101,rp.session.radical.mturilli.017096.0006,unit.000764
12237,376.376399994,0.00220012664795,0.00209999084473,387.910199881,0.472300052643,2.45670008659,exp6,research.northwestern.edu,pilot.0014,rp.session.radical.mturilli.017096.0006,unit.000765
12238,248.362600088,0.00149989128113,0.00139999389648,245.565900087,0.472300052643,2.45630002022,exp6,phys.uconn.edu,pilot.0046,rp.session.radical.mturilli.017096.0006,unit.000766
12239,192.194900036,0.00130009651184,0.00139999389648,190.626600027,0.472300052643,2.45580005646,exp6,CRUSH.OSG,pilot.0095,rp.session.radical.mturilli.017096.0006,unit.000767
12240,473.527899981,0.00180006027222,0.00139999389648,935.309700012,0.472300052643,2.45539999008,exp6,usatlas.bnl.gov,pilot.0124,rp.session.radical.mturilli.017096.0006,unit.000768
12241,296.325500011,0.00220012664795,0.00189995765686,322.076200008,0.472300052643,2.45499992371,exp6,usatlas.bnl.gov,pilot.0021,rp.session.radical.mturilli.017096.0006,unit.000769
12242,,0.00029993057251,0.000199794769287,293.519600153,0.472300052643,2.45460009575,exp6,,pilot.0009,rp.session.radical.mturilli.017096.0006,unit.000770
12243,367.377099991,0.00180006027222,0.00180006027222,403.832700014,0.472300052643,2.45420002937,exp6,phys.uconn.edu,pilot.0044,rp.session.radical.mturilli.017096.0006,unit.000771
12244,265.261999846,0.00150012969971,0.00119996070862,260.098700047,0.472300052643,2.453799963,exp6,research.northwestern.edu,pilot.0017,rp.session.radical.mturilli.017096.0006,unit.000772
12245,410.419800043,0.00190019607544,0.0019998550415,420.917599916,0.472300052643,2.45329999924,exp6,CRUSH.OSG,pilot.0097,rp.session.radical.mturilli.017096.0006,unit.000773
12246,344.352100134,0.00180006027222,0.0019998550415,308.733400106,0.472300052643,2.45289993286,exp6,CRUSH.OSG,pilot.0093,rp.session.radical.mturilli.017096.0006,unit.000774
12247,407.410399914,0.00220012664795,0.00160002708435,399.349499941,0.472300052643,2.4525001049,exp6,CRUSH.OSG,pilot.0054,rp.session.radical.mturilli.017096.0006,unit.000775
