,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,nhost,npilot,npilot_active,nunit
rp.session.radical.mturilli.017085.0002,352.611599922,3110.84920001,31.0264000893,0.00279998779297,0.0952999591827,3352.57430005,2859.96999979,0.0155000686646,0.0167007446289,1527.60909986,0.00349998474121,0.103699922562,exp4,4.0,8,4,8
rp.session.radical.mturilli.017085.0003,289.291500092,2096.27849984,30.8053998947,0.00219988822937,0.0960001945496,2271.30019999,1852.9467001,0.0541996955872,0.0630004405975,1411.61689997,0.0127000808716,0.340699911118,exp4,4.0,8,6,32
rp.session.radical.mturilli.017086.0002,219.681799889,3942.14569998,32.6911001205,0.00249981880188,0.0982999801636,4137.42820001,3698.27049994,0.0980000495911,0.110699892044,3239.3527,0.0218000411987,1.03590011597,exp4,4.0,8,7,64
rp.session.radical.mturilli.017086.0004,245.17779994,6038.0704,30.8611998558,0.00250005722046,0.0987000465393,6214.0690999,3409.29270005,0.0497004985809,0.0683999061584,2776.63100004,0.0123000144958,0.327700138092,exp4,3.0,8,5,32
rp.session.radical.mturilli.017086.0005,260.080099821,1577.76780009,30.8515000343,0.00349998474121,0.0968999862671,1818.36800003,1324.31369996,0.00830006599426,0.0135998725891,647.638299942,0.00480008125305,0.103300094604,exp4,4.0,8,7,8
rp.session.radical.mturilli.017087.0002,265.678800106,1037.66789985,34.9416000843,0.00209999084473,0.0951998233795,1273.07080007,792.654499769,0.00820016860962,0.0119001865387,406.017499924,0.00419998168945,0.103600025177,exp4,4.0,8,8,8
rp.session.radical.mturilli.017087.0003,202.486200094,1745.87530017,34.4902999401,0.00160002708435,0.0964000225067,1940.01880002,1501.44920015,0.0428998470306,0.147799491882,1058.32280016,0.0131001472473,0.334800004959,exp4,3.0,8,8,32
rp.session.radical.mturilli.017087.0004,174.710200071,2391.6027,34.9301998615,0.00310015678406,0.0992000102997,2580.98239994,2144.55900002,0.0855994224548,0.0913004875183,1843.79519987,0.0285000801086,0.670499801636,exp4,1.0,8,8,64
rp.session.radical.mturilli.017087.0005,201.226899862,4397.99720001,34.8597002029,0.00229978561401,0.0966000556946,4595.98609996,4141.28979993,0.209900140762,0.199201345444,3843.7658999,0.0313000679016,1.12269997597,exp4,1.0,8,8,128
rp.session.radical.mturilli.017087.0006,266.361500025,1412.91289997,34.5968999863,0.00150012969971,0.0972998142242,1596.5316,1165.23000002,0.0195000171661,0.0339994430542,671.403199911,0.00559997558594,0.223099946976,exp4,3.0,8,8,16
rp.session.radical.mturilli.017087.0009,396.894900084,1947.02710009,39.7913999557,0.00670003890991,0.196499824524,2989.44280005,1693.71200013,0.101299762726,0.140099287033,1113.3283999,0.0182001590729,0.609999895096,exp5,5.0,32,23,64
rp.session.radical.mturilli.017087.0010,451.400599957,6876.57969999,37.7379000187,0.00819993019104,0.189399957657,7123.65820003,6618.3500998,0.459501028061,0.521701335907,5887.61359978,0.059700012207,0.954100131989,exp5,3.0,32,19,256
rp.session.radical.mturilli.017087.0012,230.599900007,1766.47149992,37.323800087,0.00480008125305,0.214399814606,2839.34659982,1461.54069996,0.0398993492126,0.0514996051788,1021.10369992,0.0161001682281,0.214799880981,exp5,3.0,32,9,32
