,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,nhost,npilot,npilot_active,nunit
rp.session.radical.mturilli.017092.0002,345.584400177,5956.83259988,78.1187999249,0.0240001678467,0.324999809265,9613.89180017,4721.73129988,1.69089865685,2.11790466309,4045.31879997,0.235599994659,1.78859996796,exp6,10.0,128,112,1024
rp.session.radical.mturilli.017092.0004,1099.00760007,5058.97939992,67.6236999035,0.0243999958038,0.352200031281,5325.46479988,3456.68380022,1.08839988708,0.486400604248,2481.67319989,0.0750000476837,0.703799962997,exp6,9.0,128,61,256
rp.session.radical.mturilli.017092.0005,402.679099798,4026.09739995,65.3294000626,0.0266001224518,0.328899860382,15227.2442999,2099.69210029,0.304999113083,0.74519944191,1171.71730018,0.0794999599457,0.675500154495,exp6,14.0,128,90,256
rp.session.radical.mturilli.017094.0000,487.006900072,2205.72220016,65.9111998081,0.0140001773834,0.392199993134,2368.67980003,1947.86280012,0.150300264359,0.325099468231,1190.53610015,0.0527000427246,1.02119994164,exp6,11.0,128,101,128
rp.session.radical.mturilli.017095.0001,292.507300138,6678.5400002,72.9914000034,0.0139999389648,0.314300060272,18623.9948001,6422.88149977,7.04099822044,1.83189868927,5731.52079988,0.256999969482,1.73609995842,exp6,7.0,128,83,1024
rp.session.radical.mturilli.017095.0003,512.541499853,5659.7815001,59.4033000469,0.0271999835968,0.318900108337,5799.44719982,3580.88890004,0.110599756241,0.213401556015,2210.27480006,0.0473999977112,0.506400108337,exp6,11.0,128,111,128
rp.session.radical.mturilli.017095.0007,786.685400009,13410.6354001,61.6857001781,0.0507998466492,0.317700147629,13575.2283001,11640.9633,4.22439813614,4.22360301018,10819.1452,0.465700149536,2.55480003357,exp6,10.0,128,73,2048
rp.session.radical.mturilli.017096.0005,355.108700037,2870.10539985,58.5170998573,0.016900062561,0.316699981689,3331.8750999,2606.57089996,0.145599842072,0.258600711823,1493.2506001,0.0536000728607,0.484899997711,exp6,11.0,128,65,128
rp.session.radical.mturilli.017096.0006,333.182399988,11214.7491,60.9187998772,0.0385999679565,0.311800003052,11397.5290999,10946.8982999,9.44030237198,17.7640023232,10103.0789001,0.472300052643,2.76690006256,exp6,11.0,128,100,2048
rp.session.radical.mturilli.017096.0007,1154.56369996,4636.52600002,70.5147001743,0.0134999752045,0.331500053406,7612.47619987,1867.49140024,2.42039871216,0.41979765892,1201.63880014,0.0731999874115,0.723299980164,exp6,11.0,128,71,256
rp.session.radical.mturilli.017097.0002,247.560000181,7408.33179998,61.7562999725,0.016900062561,0.310199975967,13674.6264999,7126.73599982,1.60819816589,3.67510128021,6658.25239992,0.239499807358,1.49839997292,exp6,11.0,128,86,1024
rp.session.radical.mturilli.017098.0001,438.580299854,14826.141,61.5529999733,0.040500164032,0.314199924469,25511.6335001,13241.2750001,9.77960300446,145.376102448,10984.9672,0.485300064087,8.25460004807,exp6,7.0,128,101,2048
rp.session.radical.mturilli.017099.0000,524.417900085,6886.20810008,63.6487998962,0.0162999629974,0.328799962997,13463.4393001,6594.04079986,5.45809721947,5.40339851379,5353.69020009,0.204699993134,2.06870007515,exp6,10.0,128,101,1024
rp.session.radical.mturilli.017099.0001,1083.5880003,3212.23539996,64.2669000626,0.0246999263763,0.335299968719,15448.5842001,2882.84209991,0.443401098251,0.500199794769,1701.85870004,0.0931000709534,1.10809993744,exp6,10.0,128,68,256
rp.session.radical.mturilli.017100.0000,1487.20470023,12293.6366999,66.462100029,0.0574998855591,0.325700044632,21532.8093002,10896.3325999,3.54879546165,39.040402174,9939.36570001,0.504300117493,2.5773999691,exp6,7.0,128,105,2048
rp.session.radical.mturilli.017101.0000,1780.34590006,2104.66140008,57.6294000149,0.0269999504089,0.318799972534,2589.84309983,1735.93510008,0.141800403595,0.350898981094,891.102800131,0.0797998905182,0.488500118256,exp6,12.0,128,113,128
